id,title,doi,reason_code
5,Parametric and nonparametric conditional quantile regression modeling for dependent spatial functional data,10.1016/j.spasta.2021.100498,I5
7,Exponential Lp-quantile estimation of function-on-scalar model with its applications in functional data analysis,10.1080/02664763.2025.2503855,I5
9,Registration and estimation for functional generalized linear model,10.1080/03610926.2024.2449099,I5
16,A multivariate coefficient of variation for functional data,10.4310/SII.2019.v12.n4.a12,I5
17,Variable selection of higher-order partially functional linear multiple varying coefficient spatial autoregressive model,10.1080/03610926.2025.2505984,I5
18,Estimation for functional linear semiparametric model,10.1007/s00362-020-01215-y,I5
28,Wavelet-based dimensionality reduction for multiple sets of complicated functional data,10.7232/iems.2019.18.2.252,I5
30,Enhancing spatial functional linear regression with robust dimension reduction methods,10.1016/j.jmva.2025.105538,I5
34,Layered Bayesian nonparametric regression for DNA methylation rates,10.1002/cem.3160,I5
37,Functional data analysis of single-trial auditory evoked potentials recorded in the awake rat,10.1016/j.biosystems.2017.09.002,I5
38,Adaptive estimation for functional data: Using a framelet block-thresholding method,10.1002/cjs.11682,I5
41,Stationary Processes via Fourier Transformations: Representation and Estimation,10.1007/s40995-018-0590-0,I5
44,Benchmarking different clustering algorithms on functional data,10.1007/s11634-016-0261-y,I5
47,An Overview of Univariate and Multivariate Karhunen Loève Expansions in Statistics,10.1007/s41096-022-00122-9,I5
52,A Generalized Smoother for Linear Ordinary Differential Equations,10.1080/10618600.2016.1265526,I5
54,FCWFA: Functional Cluster-Weighted Factor Analyzers,10.1007/s42519-026-00548-5,I5
60,Spatially Correlated Analysis of Infectious Disease Outcomes Based on Bayesian Functional Hierarchical Models,10.1002/sim.70635,I5
61,FPCA-based estimation for generalized functional partially linear models,10.1007/s00362-018-01066-8,I5
63,Estimation of functional regression model via functional dimension reduction,10.1016/j.cam.2020.112948,I5
66,Pattern discovery of health curves using an ordered probit model with Bayesian smoothing and functional principal component analysis,10.1177/0962280220951834,I5
67,Phase-II CUSUM Control Chart for Functional Data,10.1080/16843703.2026.2630150,I5
68,Missing Data Imputation for Operation Data of Transformer Based on Functional Principal Component Analysis and Wavelet Transform,10.1007/978-3-030-26766-7_51,I5
73,Functional Data Analysis of Head Impact Exposure of College Football Athletes,10.1007/s12561-025-09511-7,I5
75,Functional data clustering by projection into latent generalized hyperbolic subspaces,10.1007/s11634-020-00432-5,I5
78,SigFPLS: A Signatures-Based Approach for Scalar-on-Function Regression Model,10.1111/anzs.70061,I5
80,Weighted composite quantile regression estimation of partial functional linear model with censored response,10.1080/00949655.2025.2603658,I5
81,Randomly censored partially linear varying coefficient model with functional single-index interactions,10.1007/s00362-025-01769-9,I5
87,Inference for dependent error functional data with application to event-related potentials,10.1007/s11749-022-00820-3,I5
90,Functional proportional hazards mixture cure model with applications in cancer mortality in NHANES and post ICU recovery,10.1177/09622802231206472,I5
91,Nonparametric quantile scalar-on-image regression,10.1016/j.csda.2023.107873,I5
95,Function-on-function regression for assessing production quality in industrial manufacturing,10.1002/qre.2786,I5
96,Varying-coefficient partially functional linear quantile regression models,10.1016/j.jkss.2017.02.001,I5
97,A Time Series Data Classification Method Based on Basis Function Expansion and Bagging Framework,10.1109/ICPECA56706.2023.10075869,I5
105,Sparse smoothed quantile estimation for partially linear functional additive models,10.1007/s11425-024-2471-9,I5
108,Spectrally Sparse Nonparametric Regression via Elastic Net Regularized Smoothers,10.1080/10618600.2020.1806855,I5
109,A Unified Approach to Functional Principal Component Analysis and Functional Multiple-Set Canonical Correlation,10.1007/s11336-015-9478-5,I5
113,Robust inference in varying-coefficient additive models for longitudinal/functional data,10.5705/ss.202018.0483,I5
117,Estimation and inference in functional varying-coefficient single-index quantile regression models,10.1080/10485252.2023.2236722,I5
118,ICS for complex data with application to outlier detection for density data,10.1016/j.jmva.2025.105522,I5
119,Functional principal component analysis in age–period–cohort analysis of body mass index data by gender and ethnicity,10.1080/02664763.2017.1322557,I5
124,From sparse to dense functional data: phase transitions from a simultaneous inference perspective,10.1007/s11222-025-10671-1,I5
133,Mean and covariance estimation of functional data streams,10.1080/03610918.2024.2329991,I5
134,Learning Bezier-Durrmeyer Type Descriptors for Classifying Curves – Preliminary Studies,10.1007/978-3-031-42505-9_45,I5
138,Sparse functional partial least squares regression with a locally sparse slope function,10.1007/s11222-021-10066-y,I5
141,Extremes of projections of functional time series on data–driven basis systems,10.1007/s10687-017-0302-8,I5
147,SPATIAL PREDICTION OF LOCAL SOIL EROSION DISTRIBUTION IN THE WASSERSTEIN SPACE,10.1214/26-AOAS2159,I5
152,Composite Quantile Estimation in Partial Functional Linear Regression Model Based on Polynomial Spline,10.1007/s10114-021-9172-8,I5
155,Integrating spatial dependence into functional clustering of NDVI in the Ecuadorian Andes,10.1002/qre.3268,I5
158,Fourier Spectral Domain Functional Principal Component Analysis of EEG Signals,10.1007/978-3-030-40014-9_1,I5
159,Unbiased recursive decision tree for supervised functional data classification with applying on electrocardiogram signals,10.1007/s41060-023-00410-y,I5
163,Functional semiparametric modeling for nonstationary and periodic time series data,10.1016/j.jeconom.2025.106149,I5
164,A mixture of experts regression model for functional response with functional covariates,10.1007/s11222-024-10455-z,I5
165,Robust exponential squared loss-based estimation in semi-functional linear regression models,10.1007/s00180-018-0810-2,I5
166,Global Inference and Test for Eigensystems of Imaging Data Over Complicated Domains,10.1080/10618600.2024.2374584,I5
167,Estimation and inference for functional linear regression models with partially varying regression coefficients,10.1002/sta4.286,I5
171,Estimation and variable selection for generalized functional partially varying coefficient hybrid models,10.1007/s00362-022-01383-z,I5
172,Multidimensional analysis of sectoral equity dynamics: deconstructing market trends via functional data and vine copula integration,10.1057/s41260-026-00443-5,I5
173,Functional single-index composite quantile regression,10.1007/s00184-022-00887-w,I5
175,Neural network prediction of crude oil futures using B-splines,10.1016/j.eneco.2020.105080,I5
176,Robust simultaneous inference for the mean function of functional data,10.1007/s11749-018-0598-y,I5
178,Partial Functional Linear Regression Model Based on Functional Principal Component Basis Expansion and RKHS,10.1145/3783779.3783811,I5
180,Functional principal component analysis for longitudinal data with informative dropout,10.1002/sim.8798,I5
185,Model-based regression clustering for high-dimensional data: application to functional data,10.1007/s11634-016-0242-1,I5
188,Inference on volatility curve at high frequencies via functional data analysis,10.1080/03610926.2020.1864829,I5
193,Turning Bands in Functional Geostatistics: A Simulation Tool for Spatially Correlated Curves,10.15446/rce.v49n2.125276,I5
194,Spatial correlation in weather forecast accuracy: a functional time series approach,10.1007/s00180-023-01338-4,I5
195,Statistical inference of varying-coefficient partial functional spatial autoregressive model,10.1080/03610926.2021.1992438,I5
197,Stochastic functional linear models for gene-based association analysis of quantitative traits in longitudinal studies,10.4310/SII.2022.V15.N2.A9,I5
198,Two-Dimensional Functional Principal Component Analysis for Image Feature Extraction,10.1080/10618600.2022.2035738,I5
200,Penalized spatial function-on-function regression,10.1007/s11222-025-10792-7,I5
206,Multifunctional Principal Component Analysis for Human-Like Grasping,10.1007/978-3-319-89327-3_4,I5
209,Variable selection and estimation of partially functional linear multiple varying coefficient spatial autoregressive model under constraint conditions,10.1007/s10651-025-00673-7,I5
210,Spatiotemporal Besov Priors for Bayesian Inverse Problems,10.1080/01621459.2025.2560688,I5
220,Generalized functional additive nonlinear models with multimodal interaction effects,10.1007/s11222-026-10918-5,I5
221,Semiparametric Partial Functional Regression Model for Estimating Optimal Individualized Treatment Regime,10.1002/sim.70355,I5
226,Functional Beta Regression Model in Alzheimer’s Disease Studies,10.1007/s40304-025-00443-8,I5
228,Bivariate Stochastic Functional Linear Models for Gene-based Association Analysis of Quantitative Traits in Longitudinal Studies,10.1007/s12561-026-09530-y,I5
229,Functional logistic regression: a comparison of three methods,10.1080/00949655.2017.1386664,I5
230,SPARSE FUNCTIONAL PRINCIPAL COMPONENT ANALYSIS IN HIGH DIMENSIONS,10.5705/ss.202020.0445,I5
232,RSFclust: Robust sparse clustering of functional data using quantile curves,10.1007/s11222-025-10694-8,I5
233,Oracle-efficient estimation for functional data error distribution with simultaneous confidence band,10.1016/j.csda.2021.107363,I5
236,Change point analysis of functional variance function with stationary error,10.1016/j.jmva.2024.105311,I5
237,Analysis of rank regression modeling in functional data,10.4310/SII.260108020202,I5
238,STATISTICAL INFERENCE FOR FUNCTIONAL TIME SERIES: AUTOCOVARIANCE FUNCTION,10.5705/ss.202021.0121,I5
247,Dynamic prediction of multivariate functional data based on Functional Kernel Partial Least Squares,10.1016/j.jprocont.2022.06.015,I5
248,Estimation in functional single-index varying coefficient model,10.1016/j.jspi.2021.01.003,I5
253,On asymptotic properties of mean function estimator for sparse noise-contaminated data,10.1007/s11587-025-01012-5,I5
256,BAYESIAN CLUSTERING OF SPATIAL FUNCTIONAL DATA WITH APPLICATION TO A HUMAN MOBILITY STUDY DURING COVID-19,10.1214/22-AOAS1643,I5
258,Locally adaptive online functional data analysis,10.1080/10485252.2026.2630359,I5
259,The covariance function estimation based on the constrained B-spline smoothing method,10.1360/SSM-2020-0116,I5
265,Oracle-efficient estimation and global inferences for variance function of functional data,10.1016/j.jspi.2024.106210,I5
267,Boosting AI-Generated Biomedical Images with Confidence through Advanced Statistical Inference,10.1080/01621459.2025.2552510,I5
269,Oracally efficient estimation for dense functional data with holiday effects,10.1007/s11749-019-00655-5,I5
271,Dimensionality Reduction of Multivariate Functional Data Using FPCA,,I5
273,Dynamic partially functional linear regression model,10.1007/s10260-019-00457-x,I5
276,Penalized function-on-function linear quantile regression,10.1007/s00180-024-01494-1,I5
277,Functional Partial Linear Regression with Autoregressive Errors,10.1007/s40304-024-00409-2,I5
284,A Dynamic Interaction Semiparametric Function-on-Scalar Model,10.1080/01621459.2021.1933496,I5
285,The Classification Algorithm Based on Functional Logistic Regression Model With Spatial Effects and Its Application in Air Quality Analysis,10.1002/sam.70004,I5
286,Comparing spatial and spatio-temporal FPCA to impute large continuous gaps in space,10.1007/978-3-319-55708-3_22,I5
292,Adaptive slicing for functional slice inverse regression,10.1007/s00362-023-01518-w,I5
293,Bayesian functional mixed-effects models with grouped smoothness for analyzing time-course gene expression data,10.2174/1574893615999200520082636,I5
295,Truncated estimation in functional generalized linear regression models,10.1016/j.csda.2022.107421,I5
297,Bayesian latent factor regression for multivariate functional data with variable selection,10.1007/s42952-019-00044-6,I5
302,A FUNCTIONAL INFORMATION CRITERION FOR REGION SELECTION IN FUNCTIONAL LINEAR MODELS,10.5705/ss.202019.0409,I5
303,Exploiting Functional Time Series Prediction for PM2.5 Based on Multivariate Variational Mode Decomposition and Anomaly Detection,10.1002/for.70075,I5
305,Clustering functional data via variational inference,10.1007/s11634-024-00590-w,I5
306,A wavelet-based method in aggregated functional data analysis,10.1515/mcma-2023-2016,I5
308,TS-K-means: an improved test-based functional data clustering approach using shrinkage estimation,10.1080/00949655.2026.2670719,I5
309,Comparison of some Logistic Regression Methodologies in Supervised Classification for Functional Data,10.1109/ROPEC62734.2024.10877135,I5
310,Stochastic functional linear models and Malliavin calculus,10.1007/s00180-021-01142-y,I5
315,Estimation in functional additive models for high-dimensional functional data,10.1007/s11425-025-2487-3,I5
317,Statistical inference and goodness-of-fit test in functional data via error distribution function,10.1007/s11222-025-10574-1,I5
318,Variable selection in function-on-scalar single-index model via the alternating direction method of multipliers,10.1007/s11749-023-00884-9,I5
322,Comparative Study of Missing Data Imputation Methods in Functional Data Analysis,10.1007/s40995-025-01858-2,I5
325,Smoothing of Hip Angle Kinematics Data during Parachute Landing Using Functional Data Analysis Approach,10.1109/SCOReD57082.2022.9973921,I5
326,M-based simultaneous inference for the mean function of functional data,10.1007/s10463-018-0656-y,I5
327,A new approach for time domain analysis of multivariate and functional time series,10.1080/02331888.2023.2293738,I5
332,A functional single-index model,10.5705/SS.202018.0013,I5
338,Aggregated functional data model applied on clustering and disaggregation of UK electrical load profiles,10.1093/jrsssc/qlac006,I5
339,Periodic splinets,10.1080/03610918.2024.2443782,I5
340,Functional data clustering via hypothesis testing k-means,10.1007/s00180-018-0808-9,I5
343,An adaptive group LASSO approach for domain selection in functional generalized linear models,10.1016/j.jspi.2021.11.003,I5
344,Bayesian Data Sketching for Varying Coefficient Regression Models,,I5
345,Quantifying Infinite-Dimensional Data: Functional Data Analysis in Action,10.1007/s12561-015-9137-5,I5
347,Functional logistic discrimination with sparse PCA and its application to the structural MRI,10.1007/s41237-019-00079-3,I5
349,On the Sieve Estimator for Fractional SPDEs from Discrete Observations,,I5
350,Electricity Consumption Prediction for Enterprises Based on Neural Network Algorithms,10.1109/ICCCBDA64898.2025.11030474,I5
354,High-dimensional partially linear functional Cox models,10.1093/biomtc/ujae164,I5
356,Wavelet-based LASSO in functional linear quantile regression,10.1080/00949655.2019.1583228,I5
367,Comparative Analysis of Sampling Frequency Effects on Forecasting Performance in Scalar and Functional Data: Autoregressive and LSTM Models,10.1109/TEMSCON-ASPAC65329.2025.11512241,I5
369,Hypothesis testing for multiple mean and correlation curves with functional data,10.5705/ss.202017.0262,I5
379,Estimating Truncated Functional Linear Models With a Nested Group Bridge Approach,10.1080/10618600.2020.1713797,I5
388,Statistical inference for mean function of partially observed functional time series,10.1093/biomtc/ujag111,I5
390,A case study in engineering model validation using new wavelet-based methods,10.1002/qre.2415,I5
392,Hierarchical Bayesian models for predicting spatially correlated curves,10.1080/02331888.2018.1547905,I5
393,From multiple Gaussian sequences to functional data and beyond: a Stein estimation approach,10.1111/rssb.12255,I5
394,A sparse estimate to varying-coefficient additive models for functional and longitudinal data,10.1007/s00180-025-01685-4,I5
395,Framelet block thresholding estimator for sparse functional data,10.1016/j.jmva.2021.104895,I5
398,A method for variable selection in a multivariate functional linear regression model with multiple scalar responses,10.1080/03610918.2025.2477716,I5
