id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
203,Band depth based initialization of K-means for functional data clustering,include,none,media,"Clustering funcional (band depth) que ajusta B-splines a las observaciones; metodologia FDA, discute naturaleza funcional vs multivariada.",no
205,Bayesian adaptive selection of basis functions for functional data representation,include,none,alta,Seleccion bayesiana adaptativa de funciones base para representacion de datos funcionales; PR1/PR3 directo.,no
207,BAYESIAN ADAPTIVE AND INTERPRETABLE FUNCTIONAL REGRESSION FOR EXPOSURE PROFILES,include,none,alta,Regresion funcional bayesiana con expansion B-spline y priors de shrinkage dinamico; contribucion metodologica sobre base y regularizacion.,no
211,Translation-invariant functional clustering on COVID-19 deaths adjusted on population risk factors,include,none,media,"Clustering funcional invariante a traslacion con descomposicion wavelet; wavelets centrales al metodo, COVID ilustrativo.",no
217,logitFD: an R package for functional principal component logit regression,include,none,alta,Paquete R para regresion logit por componentes principales funcionales; metodos de expansion en bases y FPCA.,no
223,Functional Modelling of Telecommunications Data∗,include,none,media,Modelado funcional de datos de telecom con suavizado B-spline explicito y autorregresion funcional; discute ventajas de enfoques.,si
235,Nested Hierarchical Functional Data Modeling and Inference for the Analysis of Functional Plant Phen,include,none,alta,"Modelo jerarquico funcional con splines penalizados de producto tensorial, FPCA multinivel, seleccion de numero de componentes via cAIC.",no
239,Splinets – Orthogonal Splines for Functional Data Analysis,include,none,alta,"Splines ortogonales (splinets) para FDA; representacion en bases ortonormales, FPCA, reduccion de dimension. PR1 directo.",no
240,Basis expansion approaches for functional analysis of variance with repeated measures,include,none,alta,Expansion en bases explicita para FANOVA de medidas repetidas; PR1/PR2. Biomecanica ilustrativa.,no
244,Integer-valued functional data analysis for measles forecasting,include,none,alta,FDA de valores enteros para pronostico de sarampion; expansion en bases desconocida aprendida de los datos con coeficientes dinamicos.,no
262,Function-on-function regression for the identification of epigenetic regions exhibiting windows of s,include,none,media,"Regresion function-on-function con wavelets para ventanas de susceptibilidad epigenetica; metodo con base wavelet, dominio ilustrativo.",si
263,Distribution-free uncertainty quantification for daily treasury yield curves with functional princip,include,none,alta,"UQ distribution-free para curvas de rendimiento del tesoro; suavizado B-spline, FPCA-VAR, benchmarks vs DNS. PR4/PR5.",no
266,Homogeneity problem for basis expansion of functional data with applications to resistive memories,include,none,alta,"Item #9a del conjunto oro: expansion en bases (P-splines, Karhunen-Loeve) y FPCA para test de homogeneidad funcional. PR1.",no
270,Flexible functional data smoothing and optimization using beta spline,include,none,alta,"Suavizado de datos funcionales con beta-spline; eleccion de base crucial, roughness penalty + GCV. PR1/PR3.",no
