id,status,error,n_chars,method
0,too_short,,11,html
3,ok,,6035,html
4,ok,,65335,pdf
6,error_fetch,HTTP Error 404: Not Found,0,
8,too_short,,11,html
10,error_fetch,HTTP Error 403: Forbidden,0,
11,ok,,117568,pdf
14,ok,,38091,pdf
15,error_fetch,HTTP Error 403: Forbidden,0,
19,error_fetch,HTTP Error 403: Forbidden,0,
20,ok,,60648,pdf
21,too_short,,83,html
22,error_fetch,HTTP Error 403: Forbidden,0,
23,error_fetch,HTTP Error 403: Forbidden,0,
24,error_fetch,HTTP Error 403: Forbidden,0,
25,error_fetch,HTTP Error 403: Forbidden,0,
26,error_fetch,HTTP Error 403: Forbidden,0,
27,too_short,,167,html
29,too_short,,6,html
31,ok,,48806,pdf
32,error_fetch,HTTP Error 403: Forbidden,0,
35,too_short,,167,html
36,too_short,,82,html
39,too_short,,83,html
40,too_short,,167,html
42,ok,,60170,pdf
43,ok,,88706,pdf
45,ok,,3426,html
46,too_short,,82,html
48,error_fetch,HTTP Error 403: Forbidden,0,
49,ok,,85187,pdf
50,ok,,31194,pdf
51,ok,,124902,html
53,too_short,,82,html
55,too_short,,82,html
56,error_fetch,HTTP Error 403: Forbidden,0,
57,too_short,,11,html
58,ok,,48440,pdf
59,ok,,45712,pdf
62,ok,,12886,html
64,too_short,,0,html
70,too_short,,82,html
71,too_short,,11,html
72,ok,,80244,pdf
74,ok,,51113,html
79,error_fetch,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,0,
82,ok,,71480,pdf
83,ok,,16085,html
84,error_fetch,HTTP Error 403: Forbidden,0,
86,ok,,40966,pdf
88,ok,,36284,pdf
89,ok,,37311,pdf
92,error_fetch,HTTP Error 403: Forbidden,0,
94,error_fetch,HTTP Error 403: Forbidden,0,
98,too_short,,82,html
99,error_fetch,HTTP Error 403: Forbidden,0,
101,ok,,42446,pdf
102,too_short,,0,html
103,error_fetch,HTTP Error 403: Forbidden,0,
104,error_fetch,HTTP Error 403: Forbidden,0,
106,ok,,58200,pdf
107,too_short,,81,html
111,ok,,35262,pdf
