id,doi,is_oa,source,oa_url,host_type
0,10.1016/j.jmva.2025.105515,True,unpaywall,https://doi.org/10.1016/j.jmva.2025.105515,publisher
3,10.32604/cmc.2024.049605,True,unpaywall,https://doi.org/10.32604/cmc.2024.049605,publisher
4,10.1007/s11749-026-01004-z,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11749-026-01004-z.pdf,publisher
5,10.1016/j.spasta.2021.100498,False,,,
6,10.4310/22-SII773,True,unpaywall,https://arxiv.org/pdf/2508.05567,repository
7,10.1080/02664763.2025.2503855,False,,,
8,10.1016/j.spasta.2020.100413,True,semantic_scholar,https://doi.org/10.1016/j.spasta.2020.100413,
9,10.1080/03610926.2024.2449099,False,,,
10,10.1007/s13253-023-00585-8,True,semantic_scholar,https://oaktrust.library.tamu.edu/bitstream/1969.1/197221/1/SHEN-DISSERTATION-2022.pdf,
11,10.1080/07350015.2021.1938085,True,unpaywall,https://arxiv.org/pdf/2006.13489,repository
14,10.17713/ajs.v50i4.1099,True,unpaywall,https://www.ajs.or.at/index.php/ajs/article/download/1099/731,publisher
15,10.1016/j.jspi.2019.10.006,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0378375819301132/pdf,publisher
16,10.4310/SII.2019.v12.n4.a12,False,,,
17,10.1080/03610926.2025.2505984,False,,,
18,10.1007/s00362-020-01215-y,False,,,
19,10.3390/math11010228,True,unpaywall,https://www.mdpi.com/2227-7390/11/1/228/pdf?version=1672977317,publisher
20,10.1007/s10463-019-00724-4,True,unpaywall,https://arxiv.org/pdf/1809.00737,repository
21,10.1214/23-BA1410,True,unpaywall,https://projecteuclid.org/journals/bayesian-analysis/advance-publication/Semiparametric-Functional-Factor-Models-with-Bayesian-Rank-Selection/10.1214/23-BA1410.pdf,publisher
22,10.1080/10618600.2024.2374570,True,unpaywall,https://doi.org/10.1080/10618600.2024.2374570,publisher
23,10.1002/bimj.202300081,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bimj.202300081,publisher
24,10.3390/math8112085,True,unpaywall,https://www.mdpi.com/2227-7390/8/11/2085/pdf?version=1606110198,publisher
25,10.3390/math10152704,True,unpaywall,https://www.mdpi.com/2227-7390/10/15/2704/pdf?version=1660036327,publisher
26,10.1002/sim.7607,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7607,publisher
27,10.1002/sim.7534,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/5772010,repository
28,10.7232/iems.2019.18.2.252,False,,,
29,10.1080/01621459.2017.1411268,True,unpaywall,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1128&context=stat_las_pubs,repository
30,10.1016/j.jmva.2025.105538,False,,,
31,10.32479/ijeep.13728,True,unpaywall,https://econjournals.com/index.php/ijeep/article/download/13728/7113,publisher
