id,title_short,decision,reason_code,confidence,rationale,motivo_revision
206,Multifunctional Principal Component Analysis for Human-Like Grasping,exclude,E4,baja,"Título indica aplicación de FPCA a robótica (grasping), dominio ajeno sin abstract.",exclusion_baja_confianza
219,Nonparametric tests for semiparametric regression models,exclude,I1,baja,"Prueba no paramétrica para modelos semiparamétricos generales; sin mención clara de datos funcionales, posible falso positivo.",exclusion_baja_confianza
235,Nested Hierarchical Functional Data Modeling and Inference for the Analysis of Functional Plant Phen,exclude,E4,baja,Modelado jerárquico de fenotipos funcionales de plantas; dominio ajeno (agricultura).,exclusion_baja_confianza
242,Application of functional feature extraction to the compression of network time series,exclude,E4,baja,Extracción de características funcionales para compresión de redes; dominio ajeno (ingeniería de redes).,exclusion_baja_confianza
245,Fast geostatistical seismic inversion coupling machine learning and Fourier decomposition,exclude,I1,baja,"Inversión sísmica geofísica con descomposición de Fourier; probable falso positivo, no es FDA estadístico.",exclusion_baja_confianza
275,Learning Operators with Coupled Attention,exclude,I1,baja,"Aprendizaje de operadores con atención acoplada; no evidencia conexión con FDA estadística, probable falso positivo.",exclusion_baja_confianza
363,Random forest-based approach for physiological functional variable selection for driver’s stress lev,exclude,E4,baja,Selección de variables funcionales fisiológicas para clasificación de estrés de conductores; dominio ajeno (factores humanos/automotriz).,exclusion_baja_confianza
377,Traffic signal detection from in-vehicle GPS speed profiles using functional data analysis and machi,exclude,E4,baja,Detección de señales de tráfico vía perfiles GPS usando FDA y ML; dominio ajeno (ingeniería de transporte).,exclusion_baja_confianza
496,MULTISCALE POISSON PROCESS APPROACHES FOR DETECTING AND ESTIMATING DIFFERENCES FROM HIGH-THROUGHPUT ,exclude,E4,baja,"Sin resumen; título indica dominio de secuenciación genómica de alto rendimiento, ajeno a FDA/bases.",exclusion_baja_confianza
501,Reduced representations of vector-valued coupling variables in decomposition-based design optimizati,exclude,I1,baja,"Sin resumen; título sobre optimización de diseño por descomposición, sin conexión evidente a FDA/bases.",exclusion_baja_confianza
556,Nonparametric Bayesian functional clustering for time-course microarray data,exclude,E4,baja,"Sin resumen; título indica datos de microarreglos (genómica), dominio ajeno.",exclusion_baja_confianza
580,Bayesian semiparametric predictive modeling with applications in dose-response prediction,exclude,E4,baja,"Sin resumen; predicción dosis-respuesta, dominio farmacológico/médico.",exclusion_baja_confianza
613,Bivariate Hermite subdivision,exclude,I1,baja,"Subdivision de Hermite bivariada; tema de CAGD/analisis numerico, sin conexion aparente a FDA estadistica.",exclusion_baja_confianza
644,Rejoinder,exclude,I1,baja,"""Rejoinder"" (replica a discusion), no es un articulo de investigacion sustantivo.",exclusion_baja_confianza
656,Cardiac unfold: A novel technique for image-guided cardiac catheterization procedures,exclude,I1,baja,Tecnica de cateterismo cardiaco guiado por imagen; sin conexion aparente a FDA estadistica.,exclusion_baja_confianza
670,A new non-polynomial univariate interpolation formula of Hermite type,exclude,I1,baja,"Formula de interpolacion de Hermite no polinomial; analisis numerico puro, sin conexion a FDA estadistica.",exclusion_baja_confianza
681,"A framework for registration, statistical characterization and classification of cortically constrai",exclude,I1,baja,"Registro de imagenes funcionales corticales (fMRI); ""funcional"" refiere a neuroimagen, no a FDA estadistica.",exclusion_baja_confianza
712,MRI - Mammography 2D/3D data fusion for breast pathology assessment,exclude,I1,baja,Fusion de datos 2D/3D de mamografia/RM para patologia mamaria; sin conexion aparente a FDA estadistica.,exclusion_baja_confianza
745,Group statistics of DTI fiber bundles using spatial functions of tensor measures,exclude,I1,baja,"Estadistica de haces de fibra por DTI; neuroimagen de difusion, sin conexion aparente a representacion en bases de FDA.",exclusion_baja_confianza
792,Fully automated multi-modal anatomic atlas generation using 3D-slicer,exclude,I1,baja,Generacion de atlas anatomico multimodal automatizado (software de imagen medica); sin conexion aparente a FDA estadistica.,exclusion_baja_confianza
834,"International Symposium on Knowledge Exploration in Life Science Informatics, KELSI 2004",exclude,E5,baja,"Registro de volumen de actas KELSI 2004, no trabajo individual",exclusion_baja_confianza
919,"13th European Symposium on Artificial Neural Networks, ESANN 2005",exclude,E5,baja,"Registro de volumen de actas ESANN 2005, no trabajo individual",exclusion_baja_confianza
960,ICGSP 2024 - Proceedings of the 2024 8th International Conference on Graphics and Signal Processing,exclude,E5,baja,"Registro de volumen de actas ICGSP 2024, no trabajo individual",exclusion_baja_confianza
1001,BOLD responses to visual stimulation in survivors of childhood cancer,exclude,I1,baja,Titulo sin terminos FDA/base/wavelet/spline visibles; neuroimagen sin conexion aparente,exclusion_baja_confianza
1007,Characterization of porcine skin as a model for human skin studies using infrared spectroscopic imag,exclude,I1,baja,Sin terminos FDA/base visibles; espectroscopia de piel,exclusion_baja_confianza
1008,Estimating tissue deformation between functional images induced by intracranial electrode implantati,exclude,I1,baja,"'Functional images' = fMRI, no FDA estadistico; registro con splines generico",exclusion_baja_confianza
1010,Elastic registration of functional MRI data to sensorimotor cortex,exclude,I1,baja,"fMRI (imagenes funcionales), no FDA estadistico",exclusion_baja_confianza
1013,Elastic registration of fMRI data using Bézier-spline transformations,exclude,I1,baja,"fMRI + registro spline generico, sin FDA estadistico",exclusion_baja_confianza
1014,Reorientation to vertical modulated by combined support surface tilt and virtual visual flow in heal,exclude,I1,baja,Sin terminos FDA/base visibles,exclusion_baja_confianza
